Latitude,Longitude,Speed_mph,Point_Index
42.83800598,-78.68804219,22.7421,278
42.83800499,-78.68804862,23.0331,279
42.83800387,-78.68805509,23.2657,280
42.83800283,-78.68806171,23.5755,281
42.83800181,-78.68806861,24.0321,282
42.83800098,-78.68807538,24.2797,283
42.83799999,-78.68808228,24.6482,284
42.83799896,-78.68808919,24.8687,285
42.8379979,-78.68809618,25.1991,286
42.83799678,-78.68810338,25.6397,287
42.83799573,-78.68811023,25.7231,288
42.83799444,-78.68811746,25.9805,289
42.83799337,-78.68812474,26.3455,290
42.83799232,-78.68813207,26.6353,291
42.83799124,-78.68813951,27.0854,292
42.83798987,-78.68814707,27.2596,293
42.83798858,-78.68815458,27.5216,294
42.83798735,-78.68816207,27.6779,295
42.83798605,-78.68816961,27.916,296
42.83798493,-78.68817722,28.1319,297
42.83798355,-78.68818494,28.341,298
42.83798219,-78.68819277,28.6111,299
42.83798078,-78.68820069,28.9932,300
42.83797927,-78.68820863,29.2961,301
42.83797778,-78.68821672,29.5763,302
42.83797631,-78.68822468,29.6618,303
42.83797469,-78.68823262,29.7222,304
42.83797297,-78.68824069,29.8729,305
42.83797131,-78.68824873,30.235,306
42.83796957,-78.68825686,30.3703,307
42.83796783,-78.68826501,30.5208,308
42.83796594,-78.68827317,30.6849,309
42.83796401,-78.68828146,30.9337,310
42.83796194,-78.68828986,31.33,311
42.83795986,-78.68829798,31.3329,312
42.83795754,-78.68830622,31.4976,313
42.83795531,-78.68831442,31.6085,314
42.83795299,-78.68832266,31.7545,315
42.83795063,-78.68833099,32.0691,316
42.83794827,-78.6883394,32.2136,317
42.83794571,-78.68834763,32.351,318
42.83794315,-78.68835585,32.4251,319
